-4.7507,0.71168,0.35242,0.24211,-1.318,-0.72144,-0.65529,-0.61982,-0.73416,-0.72125,-0.56548,-0.61687,-0.64108
-4.7507,0.71168,0.35242,0.24211,-1.318,-0.72144,-0.65529,-0.61982,-0.73416,-0.72125,-0.56548,-0.61687,-0.64108
-6.854,0.39972,0.75611,0.57108,-1.2373,-1.0507,-0.39581,-0.64571,-0.64011,-0.81716,-0.61832,-0.8278,-0.70799
-5.9228,0.79831,0.16471,0.53638,-1.0936,-1.0634,-0.63401,-0.3882,-0.7465,-0.72271,-0.64498,-0.73533,-0.8048
-5.7455,0.82817,0.060075,0.40636,-1.0171,-1.0468,-0.66642,-0.37417,-0.69801,-0.70001,-0.76792,-0.69873,-0.7927
-5.6204,0.64185,0.38433,0.56268,-0.90091,-0.97497,-0.52963,-0.41715,-0.59563,-0.55481,-0.63753,-0.59642,-0.72993
-6.4262,0.85145,0.31792,0.55247,-0.81543,-1.1176,-0.61688,-0.42068,-0.7122,-0.70672,-0.66899,-0.61561,-0.76427
-4.8309,0.7892,0.35074,0.43389,-0.71274,-1.0695,-0.68711,-0.63806,-0.40234,-1.0397,-0.70946,-0.69938,-0.76195
-5.931,0.98323,0.10427,0.4948,-0.65582,-1.1372,-0.6022,-0.43465,-0.53733,-0.85534,-0.65767,-0.56922,-0.76834
-5.3755,0.54826,0.47552,0.79226,-0.95745,-1.0689,-0.46144,-0.40078,-0.59741,-0.77005,-0.51918,-0.58561,-0.75365
-5.4575,0.59107,0.42067,0.83519,-0.83752,-1.0513,-0.44646,-0.46786,-0.47672,-0.71246,-0.60205,-0.60681,-0.64943
-6.0168,0.48374,0.591,0.65794,-1.1249,-1.0043,-0.50842,-0.53339,-0.51953,-0.81861,-0.65716,-0.62017,-0.70286
-6.6924,0.94693,0.21672,0.4453,-0.99414,-1.079,-0.86829,-0.38398,-0.54279,-0.76501,-0.73512,-0.5904,-0.59138
-6.8074,0.42731,0.54249,0.8404,-1.2058,-1.0549,-0.38028,-0.48279,-0.73065,-0.64854,-0.62124,-0.71948,-0.69974
-7.0615,0.44931,0.58355,0.71133,-1.1329,-1.0367,-0.45686,-0.62808,-0.58366,-0.88064,-0.7249,-0.68517,-0.75417
-6.5001,0.57764,0.47214,0.84779,-1.0811,-1.0982,-0.51309,-0.44241,-0.69772,-0.77251,-0.68222,-0.64316,-0.79454
-7.9315,0.98906,0.29715,0.6871,-0.77537,-0.96223,-0.67055,-0.35445,-0.47537,-0.97495,-0.43723,-0.69175,-0.73987
-5.0594,0.24815,1.1965,0.39337,-1.2145,-0.67966,-0.49705,-0.85858,-0.4627,-0.6615,-0.67272,-0.75826,-0.57738
-5.2686,0.20224,0.87702,0.74572,-1.2001,-0.83697,-0.55024,-0.96833,-0.71058,-0.71565,-0.60378,-0.60763,-0.5632
-6.755,0.46626,0.84063,0.69661,-1.1569,-0.75836,-0.45242,-0.9868,-0.63016,-0.56738,-0.45092,-0.61633,-0.4388
-6.9027,0.45292,0.44613,0.76505,-1.1703,-1.0798,-0.55195,-0.92009,-0.86765,-0.59043,-0.5293,-0.60618,-0.65176
-7.5894,0.82427,0.25022,0.5981,-0.78812,-1.1615,-0.86211,-0.71635,-0.83409,-0.74348,-0.51257,-0.57729,-0.64007
-7.1532,0.38008,0.87965,0.89143,-1.2065,-0.7779,-0.47394,-0.85001,-0.63361,-0.50418,-0.49189,-0.56498,-0.64032
-5.4824,0.23836,0.66544,0.71258,-1.192,-1.0479,-0.64406,-0.61668,-0.57021,-0.85859,-0.6957,-0.73569,-0.75069
-6.3093,0.51279,0.47688,0.90236,-0.95008,-1.1481,-0.64058,-0.86694,-0.77788,-0.57575,-0.60273,-0.57052,-0.73849
-6.7973,1.147,0.25292,0.46953,-0.59306,-1.2692,-0.85515,-0.6776,-0.71937,-0.72947,-0.6092,-0.44438,-0.77582
